Revenue,Survey question,Response option,Percent,Question sample size
"$50,001-$100,000",Actions taken in response to financial challenges,"Cut staff, hours, and/or downsized operations",37%,507
"$50,001-$100,000",Actions taken in response to financial challenges,Made a late payment or did not pay,28%,507
"$50,001-$100,000",Actions taken in response to financial challenges,Obtained funds that do not have to be repaid,11%,507
"$50,001-$100,000",Actions taken in response to financial challenges,Other,3%,507
"$50,001-$100,000",Actions taken in response to financial challenges,No action,3%,507
"$100,001-$250,000",Actions taken in response to financial challenges,Used personal funds,66%,1021
"$100,001-$250,000",Actions taken in response to financial challenges,Used cash reserves,46%,1021
"$100,001-$250,000",Actions taken in response to financial challenges,Raised prices the business charges,44%,1021
"$100,001-$250,000",Actions taken in response to financial challenges,"Cut staff, hours, and/or downsized operations",38%,1021
"$100,001-$250,000",Actions taken in response to financial challenges,Obtained funds that must be repaid,37%,1021
"$100,001-$250,000",Actions taken in response to financial challenges,Made a late payment or did not pay,29%,1021
"$100,001-$250,000",Actions taken in response to financial challenges,Obtained funds that do not have to be repaid,7%,1021
"$100,001-$250,000",Actions taken in response to financial challenges,Other,5%,1021
"$100,001-$250,000",Actions taken in response to financial challenges,No action,4%,1021
"$250,001-$500,000",Actions taken in response to financial challenges,Used personal funds,56%,1182
"$250,001-$500,000",Actions taken in response to financial challenges,Used cash reserves,53%,1182
"$250,001-$500,000",Actions taken in response to financial challenges,Raised prices the business charges,51%,1182
"$250,001-$500,000",Actions taken in response to financial challenges,"Cut staff, hours, and/or downsized operations",37%,1182
"$250,001-$500,000",Actions taken in response to financial challenges,Obtained funds that must be repaid,36%,1182
"$250,001-$500,000",Actions taken in response to financial challenges,Made a late payment or did not pay,24%,1182
"$250,001-$500,000",Actions taken in response to financial challenges,Obtained funds that do not have to be repaid,6%,1182
"$250,001-$500,000",Actions taken in response to financial challenges,No action,5%,1182
"$250,001-$500,000",Actions taken in response to financial challenges,Other,4%,1182
"$500,001-$1 million",Actions taken in response to financial challenges,Used cash reserves,52%,1251
"$500,001-$1 million",Actions taken in response to financial challenges,Used personal funds,52%,1251
"$500,001-$1 million",Actions taken in response to financial challenges,Raised prices the business charges,51%,1251
"$500,001-$1 million",Actions taken in response to financial challenges,Obtained funds that must be repaid,39%,1251
"$500,001-$1 million",Actions taken in response to financial challenges,"Cut staff, hours, and/or downsized operations",37%,1251
"$500,001-$1 million",Actions taken in response to financial challenges,Made a late payment or did not pay,23%,1251
"$500,001-$1 million",Actions taken in response to financial challenges,No action,8%,1251
"$500,001-$1 million",Actions taken in response to financial challenges,Obtained funds that do not have to be repaid,4%,1251
"$500,001-$1 million",Actions taken in response to financial challenges,Other,3%,1251
$1 million-$5 million,Actions taken in response to financial challenges,Raised prices the business charges,57%,1736
$1 million-$5 million,Actions taken in response to financial challenges,Used cash reserves,53%,1736
$1 million-$5 million,Actions taken in response to financial challenges,Used personal funds,41%,1736
$1 million-$5 million,Actions taken in response to financial challenges,Obtained funds that must be repaid,38%,1736
$1 million-$5 million,Actions taken in response to financial challenges,"Cut staff, hours, and/or downsized operations",36%,1736
$1 million-$5 million,Actions taken in response to financial challenges,Made a late payment or did not pay,20%,1736
$1 million-$5 million,Actions taken in response to financial challenges,No action,7%,1736
$1 million-$5 million,Actions taken in response to financial challenges,Obtained funds that do not have to be repaid,4%,1736
$1 million-$5 million,Actions taken in response to financial challenges,Other,3%,1736
"$25,001-$50,000",Age of firm,0-2 years,52%,284
"$25,001-$50,000",Age of firm,3-5 years,15%,284
"$25,001-$50,000",Age of firm,6-10 years,12%,284
"$25,001-$50,000",Age of firm,11-15 years,4%,284
"$25,001-$50,000",Age of firm,16-20 years,6%,284
"$25,001-$50,000",Age of firm,21+ years,10%,284
"$0-$25,000",Age of firm,0-2 years,70%,361
"$0-$25,000",Age of firm,3-5 years,16%,361
"$0-$25,000",Age of firm,6-10 years,5%,361
"$0-$25,000",Age of firm,11-15 years,3%,361
"$0-$25,000",Age of firm,16-20 years,2%,361
"$0-$25,000",Age of firm,21+ years,4%,361
$5 million-$10 million,Age of firm,0-2 years,4%,368
$5 million-$10 million,Age of firm,3-5 years,8%,368
$5 million-$10 million,Age of firm,6-10 years,14%,368
$5 million-$10 million,Age of firm,11-15 years,9%,368
$5 million-$10 million,Age of firm,16-20 years,9%,368
$5 million-$10 million,Age of firm,21+ years,56%,368
More than $10 million,Age of firm,0-2 years,0%,412
More than $10 million,Age of firm,3-5 years,7%,412
More than $10 million,Age of firm,6-10 years,10%,412
More than $10 million,Age of firm,11-15 years,5%,412
More than $10 million,Age of firm,16-20 years,7%,412
More than $10 million,Age of firm,21+ years,71%,412
"$50,001-$100,000",Age of firm,0-2 years,31%,539
"$50,001-$100,000",Age of firm,3-5 years,21%,539
"$50,001-$100,000",Age of firm,6-10 years,19%,539
"$50,001-$100,000",Age of firm,11-15 years,6%,539
"$50,001-$100,000",Age of firm,16-20 years,6%,539
"$50,001-$100,000",Age of firm,21+ years,16%,539
"$100,001-$250,000",Age of firm,0-2 years,17%,1075
"$100,001-$250,000",Age of firm,3-5 years,18%,1075
"$100,001-$250,000",Age of firm,6-10 years,21%,1075
"$100,001-$250,000",Age of firm,11-15 years,12%,1075
"$100,001-$250,000",Age of firm,16-20 years,10%,1075
"$100,001-$250,000",Age of firm,21+ years,22%,1075
"$250,001-$500,000",Age of firm,0-2 years,12%,1249
"$250,001-$500,000",Age of firm,3-5 years,17%,1249
"$250,001-$500,000",Age of firm,6-10 years,19%,1249
"$250,001-$500,000",Age of firm,11-15 years,14%,1249
"$250,001-$500,000",Age of firm,16-20 years,12%,1249
"$250,001-$500,000",Age of firm,21+ years,26%,1249
"$500,001-$1 million",Age of firm,0-2 years,12%,1342
"$500,001-$1 million",Age of firm,3-5 years,15%,1342
"$500,001-$1 million",Age of firm,6-10 years,15%,1342
"$500,001-$1 million",Age of firm,11-15 years,16%,1342
"$500,001-$1 million",Age of firm,16-20 years,11%,1342
"$500,001-$1 million",Age of firm,21+ years,31%,1342
$1 million-$5 million,Age of firm,0-2 years,7%,1867
$1 million-$5 million,Age of firm,3-5 years,10%,1867
$1 million-$5 million,Age of firm,6-10 years,17%,1867
$1 million-$5 million,Age of firm,11-15 years,12%,1867
$1 million-$5 million,Age of firm,16-20 years,12%,1867
$1 million-$5 million,Age of firm,21+ years,42%,1867
"$25,001-$50,000",Age of primary owner,Under 35,14%,270
"$25,001-$50,000",Age of primary owner,35-44,22%,270
"$25,001-$50,000",Age of primary owner,45-54,26%,270
"$25,001-$50,000",Age of primary owner,55-64,24%,270
"$25,001-$50,000",Age of primary owner,65 or over,14%,270
$5 million-$10 million,Age of primary owner,Under 35,0%,347
$5 million-$10 million,Age of primary owner,35-44,9%,347
$5 million-$10 million,Age of primary owner,45-54,26%,347
$5 million-$10 million,Age of primary owner,55-64,26%,347
$5 million-$10 million,Age of primary owner,65 or over,39%,347
"$0-$25,000",Age of primary owner,Under 35,10%,350
"$0-$25,000",Age of primary owner,35-44,33%,350
"$0-$25,000",Age of primary owner,45-54,30%,350
"$0-$25,000",Age of primary owner,55-64,20%,350
"$0-$25,000",Age of primary owner,65 or over,7%,350
More than $10 million,Age of primary owner,Under 35,1%,382
More than $10 million,Age of primary owner,35-44,5%,382
More than $10 million,Age of primary owner,45-54,17%,382
More than $10 million,Age of primary owner,55-64,38%,382
More than $10 million,Age of primary owner,65 or over,38%,382
"$50,001-$100,000",Age of primary owner,Under 35,3%,512
"$50,001-$100,000",Age of primary owner,35-44,24%,512
"$50,001-$100,000",Age of primary owner,45-54,28%,512
"$50,001-$100,000",Age of primary owner,55-64,30%,512
"$50,001-$100,000",Age of primary owner,65 or over,15%,512
"$100,001-$250,000",Age of primary owner,Under 35,4%,1043
"$100,001-$250,000",Age of primary owner,35-44,17%,1043
"$100,001-$250,000",Age of primary owner,45-54,22%,1043
"$100,001-$250,000",Age of primary owner,55-64,32%,1043
"$100,001-$250,000",Age of primary owner,65 or over,25%,1043
"$250,001-$500,000",Age of primary owner,Under 35,4%,1229
"$250,001-$500,000",Age of primary owner,35-44,16%,1229
"$250,001-$500,000",Age of primary owner,45-54,25%,1229
"$250,001-$500,000",Age of primary owner,55-64,31%,1229
"$250,001-$500,000",Age of primary owner,65 or over,25%,1229
"$500,001-$1 million",Age of primary owner,Under 35,1%,1313
"$500,001-$1 million",Age of primary owner,35-44,15%,1313
"$500,001-$1 million",Age of primary owner,45-54,25%,1313
"$500,001-$1 million",Age of primary owner,55-64,35%,1313
"$500,001-$1 million",Age of primary owner,65 or over,24%,1313
$1 million-$5 million,Age of primary owner,Under 35,2%,1827
$1 million-$5 million,Age of primary owner,35-44,14%,1827
$1 million-$5 million,Age of primary owner,45-54,23%,1827
$1 million-$5 million,Age of primary owner,55-64,35%,1827
$1 million-$5 million,Age of primary owner,65 or over,26%,1827
"$25,001-$50,000",Amount of debt outstanding,No outstanding debt,35%,279
"$25,001-$50,000",Amount of debt outstanding,"$25,000 or less",31%,279
"$25,001-$50,000",Amount of debt outstanding,"$25,001-$50,000",12%,279
"$25,001-$50,000",Amount of debt outstanding,"$50,001-$100,000",7%,279
"$25,001-$50,000",Amount of debt outstanding,"$100,001-$250,000",7%,279
"$25,001-$50,000",Amount of debt outstanding,"$250,001-$1 million",6%,279
"$25,001-$50,000",Amount of debt outstanding,More than $1 million,2%,279
"$0-$25,000",Amount of debt outstanding,No outstanding debt,37%,357
"$0-$25,000",Amount of debt outstanding,"$25,000 or less",27%,357
"$0-$25,000",Amount of debt outstanding,"$25,001-$50,000",7%,357
"$0-$25,000",Amount of debt outstanding,"$50,001-$100,000",9%,357
"$0-$25,000",Amount of debt outstanding,"$100,001-$250,000",12%,357
"$0-$25,000",Amount of debt outstanding,"$250,001-$1 million",8%,357
"$0-$25,000",Amount of debt outstanding,More than $1 million,0%,357
$5 million-$10 million,Amount of debt outstanding,No outstanding debt,32%,364
$5 million-$10 million,Amount of debt outstanding,"$25,000 or less",2%,364
$5 million-$10 million,Amount of debt outstanding,"$25,001-$50,000",3%,364
$5 million-$10 million,Amount of debt outstanding,"$50,001-$100,000",3%,364
$5 million-$10 million,Amount of debt outstanding,"$100,001-$250,000",8%,364
$5 million-$10 million,Amount of debt outstanding,"$250,001-$1 million",25%,364
$5 million-$10 million,Amount of debt outstanding,More than $1 million,28%,364
More than $10 million,Amount of debt outstanding,No outstanding debt,26%,406
More than $10 million,Amount of debt outstanding,"$25,000 or less",1%,406
More than $10 million,Amount of debt outstanding,"$25,001-$50,000",3%,406
More than $10 million,Amount of debt outstanding,"$50,001-$100,000",3%,406
More than $10 million,Amount of debt outstanding,"$100,001-$250,000",5%,406
More than $10 million,Amount of debt outstanding,"$250,001-$1 million",14%,406
More than $10 million,Amount of debt outstanding,More than $1 million,48%,406
"$50,001-$100,000",Amount of debt outstanding,No outstanding debt,29%,532
"$50,001-$100,000",Amount of debt outstanding,"$25,000 or less",24%,532
"$50,001-$100,000",Amount of debt outstanding,"$25,001-$50,000",14%,532
"$50,001-$100,000",Amount of debt outstanding,"$50,001-$100,000",13%,532
"$50,001-$100,000",Amount of debt outstanding,"$100,001-$250,000",13%,532
"$50,001-$100,000",Amount of debt outstanding,"$250,001-$1 million",6%,532
"$50,001-$100,000",Amount of debt outstanding,More than $1 million,0%,532
"$100,001-$250,000",Amount of debt outstanding,No outstanding debt,30%,1066
"$100,001-$250,000",Amount of debt outstanding,"$25,000 or less",16%,1066
"$100,001-$250,000",Amount of debt outstanding,"$25,001-$50,000",15%,1066
"$100,001-$250,000",Amount of debt outstanding,"$50,001-$100,000",14%,1066
"$100,001-$250,000",Amount of debt outstanding,"$100,001-$250,000",14%,1066
"$100,001-$250,000",Amount of debt outstanding,"$250,001-$1 million",8%,1066
"$100,001-$250,000",Amount of debt outstanding,More than $1 million,2%,1066
"$250,001-$500,000",Amount of debt outstanding,No outstanding debt,26%,1241
"$250,001-$500,000",Amount of debt outstanding,"$25,000 or less",11%,1241
"$250,001-$500,000",Amount of debt outstanding,"$25,001-$50,000",11%,1241
"$250,001-$500,000",Amount of debt outstanding,"$50,001-$100,000",15%,1241
"$250,001-$500,000",Amount of debt outstanding,"$100,001-$250,000",18%,1241
"$250,001-$500,000",Amount of debt outstanding,"$250,001-$1 million",15%,1241
"$250,001-$500,000",Amount of debt outstanding,More than $1 million,3%,1241
"$500,001-$1 million",Amount of debt outstanding,No outstanding debt,25%,1327
"$500,001-$1 million",Amount of debt outstanding,"$25,000 or less",9%,1327
"$500,001-$1 million",Amount of debt outstanding,"$25,001-$50,000",9%,1327
"$500,001-$1 million",Amount of debt outstanding,"$50,001-$100,000",14%,1327
"$500,001-$1 million",Amount of debt outstanding,"$100,001-$250,000",19%,1327
"$500,001-$1 million",Amount of debt outstanding,"$250,001-$1 million",20%,1327
"$500,001-$1 million",Amount of debt outstanding,More than $1 million,3%,1327
$1 million-$5 million,Amount of debt outstanding,No outstanding debt,27%,1850
$1 million-$5 million,Amount of debt outstanding,"$25,000 or less",3%,1850
$1 million-$5 million,Amount of debt outstanding,"$25,001-$50,000",4%,1850
$1 million-$5 million,Amount of debt outstanding,"$50,001-$100,000",9%,1850
$1 million-$5 million,Amount of debt outstanding,"$100,001-$250,000",15%,1850
$1 million-$5 million,Amount of debt outstanding,"$250,001-$1 million",28%,1850
$1 million-$5 million,Amount of debt outstanding,More than $1 million,14%,1850
"$25,001-$50,000",Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",31%,284
"$0-$25,000",Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",40%,361
$5 million-$10 million,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",40%,368
More than $10 million,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",45%,412
"$50,001-$100,000",Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",38%,539
"$100,001-$250,000",Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",33%,1075
"$250,001-$500,000",Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",33%,1249
"$500,001-$1 million",Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",37%,1342
$1 million-$5 million,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",36%,1867
"$25,001-$50,000",Best outcome across loan/LOC/merchant cash advance application(s),None (0%),28%,90
"$25,001-$50,000",Best outcome across loan/LOC/merchant cash advance application(s),Some (1-50%),8%,90
"$25,001-$50,000",Best outcome across loan/LOC/merchant cash advance application(s),Most (51-99%),28%,90
"$25,001-$50,000",Best outcome across loan/LOC/merchant cash advance application(s),All (100%),37%,90
"$0-$25,000",Best outcome across loan/LOC/merchant cash advance application(s),None (0%),20%,115
"$0-$25,000",Best outcome across loan/LOC/merchant cash advance application(s),Some (1-50%),15%,115
"$0-$25,000",Best outcome across loan/LOC/merchant cash advance application(s),Most (51-99%),17%,115
"$0-$25,000",Best outcome across loan/LOC/merchant cash advance application(s),All (100%),48%,115
$5 million-$10 million,Best outcome across loan/LOC/merchant cash advance application(s),None (0%),9%,152
$5 million-$10 million,Best outcome across loan/LOC/merchant cash advance application(s),Some (1-50%),18%,152
$5 million-$10 million,Best outcome across loan/LOC/merchant cash advance application(s),Most (51-99%),9%,152
$5 million-$10 million,Best outcome across loan/LOC/merchant cash advance application(s),All (100%),64%,152
More than $10 million,Best outcome across loan/LOC/merchant cash advance application(s),None (0%),4%,181
More than $10 million,Best outcome across loan/LOC/merchant cash advance application(s),Some (1-50%),4%,181
More than $10 million,Best outcome across loan/LOC/merchant cash advance application(s),Most (51-99%),14%,181
More than $10 million,Best outcome across loan/LOC/merchant cash advance application(s),All (100%),79%,181
"$50,001-$100,000",Best outcome across loan/LOC/merchant cash advance application(s),None (0%),35%,194
"$50,001-$100,000",Best outcome across loan/LOC/merchant cash advance application(s),Some (1-50%),14%,194
"$50,001-$100,000",Best outcome across loan/LOC/merchant cash advance application(s),Most (51-99%),7%,194
"$50,001-$100,000",Best outcome across loan/LOC/merchant cash advance application(s),All (100%),45%,194
"$100,001-$250,000",Best outcome across loan/LOC/merchant cash advance application(s),None (0%),32%,368
"$100,001-$250,000",Best outcome across loan/LOC/merchant cash advance application(s),Some (1-50%),17%,368
"$100,001-$250,000",Best outcome across loan/LOC/merchant cash advance application(s),Most (51-99%),14%,368
"$100,001-$250,000",Best outcome across loan/LOC/merchant cash advance application(s),All (100%),37%,368
"$250,001-$500,000",Best outcome across loan/LOC/merchant cash advance application(s),None (0%),21%,419
"$250,001-$500,000",Best outcome across loan/LOC/merchant cash advance application(s),Some (1-50%),17%,419
"$250,001-$500,000",Best outcome across loan/LOC/merchant cash advance application(s),Most (51-99%),17%,419
"$250,001-$500,000",Best outcome across loan/LOC/merchant cash advance application(s),All (100%),46%,419
"$500,001-$1 million",Best outcome across loan/LOC/merchant cash advance application(s),None (0%),22%,472
"$500,001-$1 million",Best outcome across loan/LOC/merchant cash advance application(s),Some (1-50%),13%,472
"$500,001-$1 million",Best outcome across loan/LOC/merchant cash advance application(s),Most (51-99%),16%,472
"$500,001-$1 million",Best outcome across loan/LOC/merchant cash advance application(s),All (100%),49%,472
$1 million-$5 million,Best outcome across loan/LOC/merchant cash advance application(s),None (0%),15%,676
$1 million-$5 million,Best outcome across loan/LOC/merchant cash advance application(s),Some (1-50%),12%,676
$1 million-$5 million,Best outcome across loan/LOC/merchant cash advance application(s),Most (51-99%),14%,676
$1 million-$5 million,Best outcome across loan/LOC/merchant cash advance application(s),All (100%),60%,676
More than $10 million,Best outcome on application(s) for a business loan,None (0%),9%,52
More than $10 million,Best outcome on application(s) for a business loan,Some (1-50%),3%,52
More than $10 million,Best outcome on application(s) for a business loan,Most (51-99%),17%,52
More than $10 million,Best outcome on application(s) for a business loan,All (100%),71%,52
"$50,001-$100,000",Best outcome on application(s) for a business loan,None (0%),41%,81
"$50,001-$100,000",Best outcome on application(s) for a business loan,Some (1-50%),20%,81
"$50,001-$100,000",Best outcome on application(s) for a business loan,Most (51-99%),8%,81
"$50,001-$100,000",Best outcome on application(s) for a business loan,All (100%),30%,81
"$100,001-$250,000",Best outcome on application(s) for a business loan,None (0%),46%,151
"$100,001-$250,000",Best outcome on application(s) for a business loan,Some (1-50%),13%,151
"$100,001-$250,000",Best outcome on application(s) for a business loan,Most (51-99%),17%,151
"$100,001-$250,000",Best outcome on application(s) for a business loan,All (100%),24%,151
"$250,001-$500,000",Best outcome on application(s) for a business loan,None (0%),24%,162
"$250,001-$500,000",Best outcome on application(s) for a business loan,Some (1-50%),31%,162
"$250,001-$500,000",Best outcome on application(s) for a business loan,Most (51-99%),14%,162
"$250,001-$500,000",Best outcome on application(s) for a business loan,All (100%),32%,162
"$500,001-$1 million",Best outcome on application(s) for a business loan,None (0%),34%,164
"$500,001-$1 million",Best outcome on application(s) for a business loan,Some (1-50%),11%,164
"$500,001-$1 million",Best outcome on application(s) for a business loan,Most (51-99%),19%,164
"$500,001-$1 million",Best outcome on application(s) for a business loan,All (100%),35%,164
$1 million-$5 million,Best outcome on application(s) for a business loan,None (0%),26%,185
$1 million-$5 million,Best outcome on application(s) for a business loan,Some (1-50%),13%,185
$1 million-$5 million,Best outcome on application(s) for a business loan,Most (51-99%),11%,185
$1 million-$5 million,Best outcome on application(s) for a business loan,All (100%),50%,185
"$50,001-$100,000",Best outcome on application(s) for a line of credit,None (0%),53%,51
"$50,001-$100,000",Best outcome on application(s) for a line of credit,Some (1-50%),25%,51
"$50,001-$100,000",Best outcome on application(s) for a line of credit,Most (51-99%),4%,51
"$50,001-$100,000",Best outcome on application(s) for a line of credit,All (100%),18%,51
$5 million-$10 million,Best outcome on application(s) for a line of credit,None (0%),11%,77
$5 million-$10 million,Best outcome on application(s) for a line of credit,Some (1-50%),20%,77
$5 million-$10 million,Best outcome on application(s) for a line of credit,Most (51-99%),19%,77
$5 million-$10 million,Best outcome on application(s) for a line of credit,All (100%),50%,77
More than $10 million,Best outcome on application(s) for a line of credit,None (0%),2%,95
More than $10 million,Best outcome on application(s) for a line of credit,Some (1-50%),6%,95
More than $10 million,Best outcome on application(s) for a line of credit,Most (51-99%),15%,95
More than $10 million,Best outcome on application(s) for a line of credit,All (100%),78%,95
"$100,001-$250,000",Best outcome on application(s) for a line of credit,None (0%),40%,140
"$100,001-$250,000",Best outcome on application(s) for a line of credit,Some (1-50%),15%,140
"$100,001-$250,000",Best outcome on application(s) for a line of credit,Most (51-99%),12%,140
"$100,001-$250,000",Best outcome on application(s) for a line of credit,All (100%),33%,140
"$250,001-$500,000",Best outcome on application(s) for a line of credit,None (0%),34%,141
"$250,001-$500,000",Best outcome on application(s) for a line of credit,Some (1-50%),11%,141
"$250,001-$500,000",Best outcome on application(s) for a line of credit,Most (51-99%),17%,141
"$250,001-$500,000",Best outcome on application(s) for a line of credit,All (100%),38%,141
"$500,001-$1 million",Best outcome on application(s) for a line of credit,None (0%),24%,195
"$500,001-$1 million",Best outcome on application(s) for a line of credit,Some (1-50%),11%,195
"$500,001-$1 million",Best outcome on application(s) for a line of credit,Most (51-99%),18%,195
"$500,001-$1 million",Best outcome on application(s) for a line of credit,All (100%),48%,195
$1 million-$5 million,Best outcome on application(s) for a line of credit,None (0%),23%,323
$1 million-$5 million,Best outcome on application(s) for a line of credit,Some (1-50%),9%,323
$1 million-$5 million,Best outcome on application(s) for a line of credit,Most (51-99%),15%,323
$1 million-$5 million,Best outcome on application(s) for a line of credit,All (100%),54%,323
"$500,001-$1 million",Best outcome on application(s) for a merchant cash advance,None (0%),3%,56
"$500,001-$1 million",Best outcome on application(s) for a merchant cash advance,Some (1-50%),31%,56
"$500,001-$1 million",Best outcome on application(s) for a merchant cash advance,Most (51-99%),38%,56
"$500,001-$1 million",Best outcome on application(s) for a merchant cash advance,All (100%),29%,56
"$100,001-$250,000",Best outcome on application(s) for a merchant cash advance,None (0%),19%,59
"$100,001-$250,000",Best outcome on application(s) for a merchant cash advance,Some (1-50%),36%,59
"$100,001-$250,000",Best outcome on application(s) for a merchant cash advance,Most (51-99%),10%,59
"$100,001-$250,000",Best outcome on application(s) for a merchant cash advance,All (100%),36%,59
"$250,001-$500,000",Best outcome on application(s) for a merchant cash advance,None (0%),0%,64
"$250,001-$500,000",Best outcome on application(s) for a merchant cash advance,Some (1-50%),29%,64
"$250,001-$500,000",Best outcome on application(s) for a merchant cash advance,Most (51-99%),40%,64
"$250,001-$500,000",Best outcome on application(s) for a merchant cash advance,All (100%),31%,64
$1 million-$5 million,Best outcome on application(s) for a merchant cash advance,None (0%),4%,66
$1 million-$5 million,Best outcome on application(s) for a merchant cash advance,Some (1-50%),39%,66
$1 million-$5 million,Best outcome on application(s) for a merchant cash advance,Most (51-99%),27%,66
$1 million-$5 million,Best outcome on application(s) for a merchant cash advance,All (100%),29%,66
$1 million-$5 million,Best outcome on application(s) for a mortgage/real estate loan,None (0%),25%,54
$1 million-$5 million,Best outcome on application(s) for a mortgage/real estate loan,Some (1-50%),4%,54
$1 million-$5 million,Best outcome on application(s) for a mortgage/real estate loan,Most (51-99%),11%,54
$1 million-$5 million,Best outcome on application(s) for a mortgage/real estate loan,All (100%),61%,54
$1 million-$5 million,Best outcome on application(s) for an auto/equipment loan,None (0%),13%,106
$1 million-$5 million,Best outcome on application(s) for an auto/equipment loan,Some (1-50%),5%,106
$1 million-$5 million,Best outcome on application(s) for an auto/equipment loan,Most (51-99%),6%,106
$1 million-$5 million,Best outcome on application(s) for an auto/equipment loan,All (100%),76%,106
"$50,001-$100,000",Best outcome on application(s) for an SBA loan/line of credit,None (0%),56%,52
"$50,001-$100,000",Best outcome on application(s) for an SBA loan/line of credit,Some (1-50%),7%,52
"$50,001-$100,000",Best outcome on application(s) for an SBA loan/line of credit,Most (51-99%),12%,52
"$50,001-$100,000",Best outcome on application(s) for an SBA loan/line of credit,All (100%),25%,52
"$100,001-$250,000",Best outcome on application(s) for an SBA loan/line of credit,None (0%),54%,69
"$100,001-$250,000",Best outcome on application(s) for an SBA loan/line of credit,Some (1-50%),12%,69
"$100,001-$250,000",Best outcome on application(s) for an SBA loan/line of credit,Most (51-99%),14%,69
"$100,001-$250,000",Best outcome on application(s) for an SBA loan/line of credit,All (100%),20%,69
"$250,001-$500,000",Best outcome on application(s) for an SBA loan/line of credit,None (0%),41%,75
"$250,001-$500,000",Best outcome on application(s) for an SBA loan/line of credit,Some (1-50%),8%,75
"$250,001-$500,000",Best outcome on application(s) for an SBA loan/line of credit,Most (51-99%),17%,75
"$250,001-$500,000",Best outcome on application(s) for an SBA loan/line of credit,All (100%),35%,75
"$500,001-$1 million",Best outcome on application(s) for an SBA loan/line of credit,None (0%),57%,80
"$500,001-$1 million",Best outcome on application(s) for an SBA loan/line of credit,Some (1-50%),14%,80
